Dependiente ,Tipo de fenomeno,Duracion,MUNICIPIOS afectados,ANAL,SPRI,OVSDS,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,area_mun (ha),Sum_POBTOT,R_Inun,R_Hur,R_Des,R_Seq,R_IF,R_Den,a_o,Clave completa(TEXTO)
0,LLUV,1,9,2.49,11.98,0.83,2.62,0.6,30.59,2.85,0,34.96,-2.01,Muy bajo,4794.3,197216,4,5,0,4,4,0,2003,28009
0,LLUV,1,9,2.06,9.1,0.42,2.54,0.54,27.43,3.59,0,27.71,-1.92,Muy bajo,4794.3,197216,4,5,0,4,4,0,2007,28009
0,LLUV,1,9,2.06,9.1,0.42,2.54,0.54,27.43,3.59,0,27.71,-1.92,Muy bajo,4794.3,197216,4,5,0,4,4,0,2007,28009
0,LLUV,1,9,2.06,9.1,0.42,2.54,0.54,27.43,3.59,0,27.71,-1.92,Muy bajo,4794.3,197216,4,5,0,4,4,0,2008,28009
0,LLUV,1,9,2.06,9.1,0.42,2.54,0.54,27.43,3.59,0,27.71,-1.92,Muy bajo,4794.3,197216,4,5,0,4,4,0,2008,28009
1,LLUV,1,8,9.5,38.36,3.47,8.68,37.33,47.64,7.19,100,68.22,0.33,Medio,298130.97,3931,3,2,0,1,3,5,2010,28008
1,LLUV,9,8,8.9,44.39,4.79,7.64,50.6,55.32,22.32,100,70.04,0.3,Alto,298130.97,3931,3,2,0,1,3,5,2007,28008
1,CT,1,7,6.54,28.91,0.88,1.52,2.84,33.37,3.04,47.66,40.51,-1.23,Muy bajo,92227.68,14701,3,1,0,2,1,0,2008,28007
1,INUND,49,7,5.69,26.55,0.83,1.05,0.82,30.33,1.53,46.53,30.96,-1.23,Bajo,92227.68,14701,3,1,0,2,1,0,2010,28007
0,LLUV,1,7,6.54,28.91,0.88,1.52,2.84,33.37,3.04,47.66,40.51,-1.23,Muy bajo,92227.68,14701,3,1,0,2,1,0,2007,28007
0,LLUV,1,7,6.54,28.91,0.88,1.52,2.84,33.37,3.04,47.66,40.51,-1.23,Muy bajo,92227.68,14701,3,1,0,2,1,0,2007,28007
1,LLUV,1,5,7.1,44.17,2.42,5.72,21.63,29.28,4.05,100,59.39,-0.17,Medio,188543,4065,3,2,1,1,3,0,2010,28005
1,LLUV,12,4,11.75,38.26,5.42,5.11,13.81,47.92,14.34,100,62.62,-0.21,Medio,57598.07,8629,2,1,1,1,5,0,2007,28004
1,LLUV,12,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2007,28003
1,LLUV,7,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2007,28003
1,INUND,7,3,3.9,16.23,0.63,1.34,1.21,39.87,4.21,13.34,33.62,-1.37,Muy bajo,164436.43,210824,4,2,0,4,3,0,2010,28003
0,LLUV,1,3,6.69,27.72,3.77,7.43,9.52,53.02,12.37,17.52,54.39,-1.1,Bajo,164436.43,210824,4,2,0,4,3,0,2003,28003
0,LLUV,1,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2007,28003
0,LLUV,1,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2007,28003
0,LLUV,1,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2007,28003
0,LLUV,1,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2008,28003
0,LLUV,1,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2008,28003
0,LLUV,2,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2008,28003
0,LLUV,2,3,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,Muy bajo,164436.43,210824,4,2,0,4,3,0,2008,28003
1,LLUV,1,2,7.87,33.4,1.2,3.47,6.86,40.3,3.9,53.64,53.31,-0.59,Medio,377822.69,27926,3,2,0,3,3,5,2010,28002
1,LLUV,7,2,10.21,37.95,2.91,7.42,11.88,44.59,7.83,53.46,57.72,-0.55,Medio,377822.69,27926,3,2,0,3,3,5,2007,28002
0,LLUV,1,2,10.21,37.95,2.91,7.42,11.88,44.59,7.83,53.46,57.72,-0.55,Medio,377822.69,27926,3,2,0,3,3,5,2008,28002
0,LLUV,1,2,10.21,37.95,2.91,7.42,11.88,44.59,7.83,53.46,57.72,-0.55,Medio,377822.69,27926,3,2,0,3,3,5,2008,28002
0,LLUV,2,2,10.21,37.95,2.91,7.42,11.88,44.59,7.83,53.46,57.72,-0.55,Medio,377822.69,27926,3,2,0,3,3,5,2008,28002
0,LLUV,2,2,10.21,37.95,2.91,7.42,11.88,44.59,7.83,53.46,57.72,-0.55,Medio,377822.69,27926,3,2,0,3,3,5,2008,28002
1,LLUV,1,1,8.67,31.37,1.99,3.13,4.87,40.23,3.46,50.22,63.44,-0.54,Medio,183886.02,11903,3,3,0,2,2,0,2010,28001
0,LLUV,1,1,10.45,41.84,4.42,6.57,4.78,49.26,10.2,53.14,66.81,-0.73,Bajo,183886.02,11903,3,3,0,2,2,0,2003,28001
0,LLUV,1,1,9.8,34.68,0.85,3.95,4.96,45.69,3.31,48.79,52.97,-0.79,Bajo,183886.02,11903,3,3,0,2,2,0,2007,28001
0,LLUV,1,1,9.8,34.68,0.85,3.95,4.96,45.69,3.31,48.79,52.97,-0.79,Bajo,183886.02,11903,3,3,0,2,2,0,2007,28001
1,SEQ,61,17,12.82,31.8,5.43,3.47,18.46,51.78,7.39,43.54,56.87,-0.55,Medio,188285.76,58802,3,1,1,1,2,0,2007,27017
1,LLUV,7,17,12.82,31.8,5.43,3.47,18.46,51.78,7.39,43.54,56.87,-0.55,Medio,188285.76,58802,3,1,1,1,2,0,2007,27017
1,INUND,1,17,12.82,31.8,5.43,3.47,18.46,51.78,7.39,43.54,56.87,-0.55,Medio,188285.76,58802,3,1,1,1,2,0,2008,27017
1,LLUV,37,17,10.51,27.98,4.21,2.7,15.19,46.01,6.74,44.74,64.68,-0.36,Medio,188285.76,58802,3,1,1,1,2,0,2010,27017
0,LLUV,1,17,12.82,31.8,5.43,3.47,18.46,51.78,7.39,43.54,56.87,-0.55,Medio,188285.76,58802,3,1,1,1,2,0,2005,27017
0,LLUV,1,17,12.82,31.8,5.43,3.47,18.46,51.78,7.39,43.54,56.87,-0.55,Medio,188285.76,58802,3,1,1,1,2,0,2009,27017
0,LLUV,1,17,12.82,31.8,5.43,3.47,18.46,51.78,7.39,43.54,56.87,-0.55,Medio,188285.76,58802,3,1,1,1,2,0,2008,27017
1,SEQ,61,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2007,27016
1,LLUV,7,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2007,27016
1,INUND,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2008,27016
1,LLUV,37,16,11.83,29.81,2.15,1.3,12.33,48.62,4.72,50.43,47.81,-0.51,Medio,42062.47,53539,3,1,1,2,3,0,2010,27016
0,FV,1,16,13.45,39.84,5.86,4.11,14.49,57.08,10.25,46.76,73.11,-0.55,Medio,42062.47,53539,3,1,1,2,3,0,2004,27016
0,LLUV,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2005,27016
0,LLUV,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2006,27016
0,LLUV,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2006,27016
0,LLUV,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2006,27016
0,LLUV,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2007,27016
0,CT,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2008,27016
0,LLUV,1,16,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,Medio,42062.47,53539,3,1,1,2,3,0,2008,27016
1,LLUV,7,15,11.2,32.04,18.11,3.7,16.73,61.13,8.88,82.28,65.92,-0.14,Medio,73452.54,46242,5,2,1,2,3,0,2007,27015
1,INUND,1,15,11.2,32.04,18.11,3.7,16.73,61.13,8.88,82.28,65.92,-0.14,Medio,73452.54,46242,5,2,1,2,3,0,2008,27015
1,LLUV,37,15,9.28,27.83,9.92,2.16,13.18,55.13,7.92,82.57,72.21,0.01,Medio,73452.54,46242,5,2,1,2,3,0,2010,27015
0,LLUV,1,15,11.84,39.56,29.56,8.34,16.96,65.54,15.6,83.26,80.02,-0.03,Alto,73452.54,46242,5,2,1,2,3,0,2003,27015
0,LLUV,1,15,11.2,32.04,18.11,3.7,16.73,61.13,8.88,82.28,65.92,-0.14,Medio,73452.54,46242,5,2,1,2,3,0,2006,27015
0,LLUV,1,15,11.2,32.04,18.11,3.7,16.73,61.13,8.88,82.28,65.92,-0.14,Medio,73452.54,46242,5,2,1,2,3,0,2007,27015
1,SEQ,61,14,5.86,21.91,3.44,0.87,18,41.8,5.46,68.45,48.07,-0.97,Bajo,40684.53,86620,4,1,0,1,1,0,2007,27014
1,LLUV,7,14,5.86,21.91,3.44,0.87,18,41.8,5.46,68.45,48.07,-0.97,Bajo,40684.53,86620,4,1,0,1,1,0,2007,27014
1,INUND,1,14,5.86,21.91,3.44,0.87,18,41.8,5.46,68.45,48.07,-0.97,Bajo,40684.53,86620,4,1,0,1,1,0,2008,27014
1,LLUV,3,14,5.86,21.91,3.44,0.87,18,41.8,5.46,68.45,48.07,-0.97,Bajo,40684.53,86620,4,1,0,1,1,0,2009,27014
0,LLUV,1,14,6.48,28.29,4.91,3.1,20.65,48.32,7.46,68.79,58.35,-0.93,Bajo,40684.53,86620,4,1,0,1,1,0,2003,27014
0,LLUV,1,14,5.86,21.91,3.44,0.87,18,41.8,5.46,68.45,48.07,-0.97,Bajo,40684.53,86620,4,1,0,1,1,0,2006,27014
0,CT,1,14,5.86,21.91,3.44,0.87,18,41.8,5.46,68.45,48.07,-0.97,Bajo,40684.53,86620,4,1,0,1,1,0,2008,27014
1,SEQ,61,13,12.14,24.5,2.87,1.12,4.1,49.24,6.81,71.59,54.1,-0.75,Bajo,53392.05,115049,4,1,0,2,1,0,2007,27013
1,LLUV,7,13,12.14,24.5,2.87,1.12,4.1,49.24,6.81,71.59,54.1,-0.75,Bajo,53392.05,115049,4,1,0,2,1,0,2007,27013
1,INUND,1,13,12.14,24.5,2.87,1.12,4.1,49.24,6.81,71.59,54.1,-0.75,Bajo,53392.05,115049,4,1,0,2,1,0,2008,27013
1,LLUV,37,13,8.84,18.52,2,0.42,2.41,43.09,4.3,66.59,34.52,-0.97,Bajo,53392.05,115049,4,1,0,2,1,0,2010,27013
0,LLUV,1,13,12.14,24.5,2.87,1.12,4.1,49.24,6.81,71.59,54.1,-0.75,Bajo,53392.05,115049,4,1,0,2,1,0,2007,27013
1,SEQ,61,12,9.61,25.9,6.96,2.62,32.63,53.2,14.61,57.04,55.43,-0.48,Medio,242615.68,153039,5,2,2,2,2,0,2007,27012
1,LLUV,7,12,9.61,25.9,6.96,2.62,32.63,53.2,14.61,57.04,55.43,-0.48,Medio,242615.68,153039,5,2,2,2,2,0,2007,27012
1,INUND,1,12,9.61,25.9,6.96,2.62,32.63,53.2,14.61,57.04,55.43,-0.48,Medio,242615.68,153039,5,2,2,2,2,0,2008,27012
1,LLUV,37,12,7.98,21.7,5.16,1.49,30.56,47.5,11.6,58.18,53.61,-0.38,Medio,242615.68,153039,5,2,2,2,2,0,2010,27012
0,LLUV,1,12,9.61,25.9,6.96,2.62,32.63,53.2,14.61,57.04,55.43,-0.48,Medio,242615.68,153039,5,2,2,2,2,0,2006,27012
1,SEQ,61,11,14.28,36.64,9.14,7.98,11.89,60.81,19.88,77.67,69.46,0.04,Alto,164168.42,29226,4,1,0,1,1,0,2007,27011
1,LLUV,7,11,14.28,36.64,9.14,7.98,11.89,60.81,19.88,77.67,69.46,0.04,Alto,164168.42,29226,4,1,0,1,1,0,2007,27011
1,INUND,1,11,14.28,36.64,9.14,7.98,11.89,60.81,19.88,77.67,69.46,0.04,Alto,164168.42,29226,4,1,0,1,1,0,2008,27011
1,LLUV,37,11,11.55,28.81,3.33,2.63,6.03,53.89,7.09,76.62,77.56,-0.04,Medio,164168.42,29226,4,1,0,1,1,0,2010,27011
0,INUND,1,11,15.6,45.74,8.23,13.21,13.79,67.39,35.1,78.39,84.32,0.15,Alto,164168.42,29226,4,1,0,1,1,0,2004,27011
0,LLUV,1,11,14.28,36.64,9.14,7.98,11.89,60.81,19.88,77.67,69.46,0.04,Alto,164168.42,29226,4,1,0,1,1,0,2009,27011
0,LLUV,1,11,14.28,36.64,9.14,7.98,11.89,60.81,19.88,77.67,69.46,0.04,Alto,164168.42,29226,4,1,0,1,1,0,2008,27011
1,SEQ,61,10,8.42,25.12,3.45,1.02,26.77,48.45,8.77,79.79,53.95,-0.63,Medio,36876.38,83336,4,1,0,2,2,0,2007,27010
1,LLUV,7,10,8.42,25.12,3.45,1.02,26.77,48.45,8.77,79.79,53.95,-0.63,Medio,36876.38,83336,4,1,0,2,2,0,2007,27010
1,INUND,1,10,8.42,25.12,3.45,1.02,26.77,48.45,8.77,79.79,53.95,-0.63,Medio,36876.38,83336,4,1,0,2,2,0,2008,27010
1,LLUV,37,10,7.6,21.5,3.43,0.69,10.89,44.14,6.13,74.4,41.59,-0.73,Bajo,36876.38,83336,4,1,0,2,2,0,2010,27010
1,LLUV,7,9,9.31,28.89,4.01,2.13,10.16,46.28,5.12,100,60.26,-0.57,Medio,59179.84,36377,3,1,0,2,2,0,2007,27009
1,INUND,1,9,9.31,28.89,4.01,2.13,10.16,46.28,5.12,100,60.26,-0.57,Medio,59179.84,36377,3,1,0,2,2,0,2008,27009
1,LLUV,37,9,8.04,23.65,2.91,0.87,8.46,41.89,4.52,100,50.3,-0.57,Medio,59179.84,36377,3,1,0,2,2,0,2010,27009
0,LLUV,1,9,10.06,36.58,5.41,6.1,20.12,53.99,8.21,100,73.15,-0.44,Medio,59179.84,36377,3,1,0,2,2,0,2003,27009
0,LLUV,1,9,9.31,28.89,4.01,2.13,10.16,46.28,5.12,100,60.26,-0.57,Medio,59179.84,36377,3,1,0,2,2,0,2006,27009
0,LLUV,1,9,9.31,28.89,4.01,2.13,10.16,46.28,5.12,100,60.26,-0.57,Medio,59179.84,36377,3,1,0,2,2,0,2007,27009
0,LLUV,1,9,9.31,28.89,4.01,2.13,10.16,46.28,5.12,100,60.26,-0.57,Medio,59179.84,36377,3,1,0,2,2,0,2007,27009
0,CT,1,9,9.31,28.89,4.01,2.13,10.16,46.28,5.12,100,60.26,-0.57,Medio,59179.84,36377,3,1,0,2,2,0,2008,27009
1,SEQ,61,8,12.33,35.15,6.04,5.74,55.71,55.37,14.76,75.31,63.8,0.04,Alto,371349.42,178800,5,2,1,2,3,0,2007,27008
1,LLUV,7,8,12.33,35.15,6.04,5.74,55.71,55.37,14.76,75.31,63.8,0.04,Alto,371349.42,178800,5,2,1,2,3,0,2007,27008
1,INUND,1,8,12.33,35.15,6.04,5.74,55.71,55.37,14.76,75.31,63.8,0.04,Alto,371349.42,178800,5,2,1,2,3,0,2008,27008
1,LLUV,3,8,12.33,35.15,6.04,5.74,55.71,55.37,14.76,75.31,63.8,0.04,Alto,371349.42,178800,5,2,1,2,3,0,2009,27008
1,SEQ,61,7,8.73,28.73,0.93,2.19,4.28,47.4,2.76,36.8,54.51,-0.93,Bajo,59188.81,29338,3,1,0,2,2,0,2007,27007
1,LLUV,7,7,8.73,28.73,0.93,2.19,4.28,47.4,2.76,36.8,54.51,-0.93,Bajo,59188.81,29338,3,1,0,2,2,0,2007,27007
1,INUND,1,7,8.73,28.73,0.93,2.19,4.28,47.4,2.76,36.8,54.51,-0.93,Bajo,59188.81,29338,3,1,0,2,2,0,2008,27007
1,LLUV,37,7,7.38,24.3,0.59,0.92,3.43,44.42,1.81,32.14,53.35,-0.88,Bajo,59188.81,29338,3,1,0,2,2,0,2010,27007
1,SEQ,61,6,9.76,30.7,4.59,1.37,35.56,47.82,13.05,77.99,61.21,-0.38,Medio,59748.56,126416,5,3,0,2,3,0,2007,27006
1,LLUV,7,6,9.76,30.7,4.59,1.37,35.56,47.82,13.05,77.99,61.21,-0.38,Medio,59748.56,126416,5,3,0,2,3,0,2007,27006
1,INUND,1,6,9.76,30.7,4.59,1.37,35.56,47.82,13.05,77.99,61.21,-0.38,Medio,59748.56,126416,5,3,0,2,3,0,2008,27006
1,LLUV,37,6,7.76,25.93,3.9,0.9,33.52,43.98,8.02,77.99,50.4,-0.37,Medio,59748.56,126416,5,3,0,2,3,0,2010,27006
1,LLUV,3,6,9.76,30.7,4.59,1.37,35.56,47.82,13.05,77.99,61.21,-0.38,Medio,59748.56,126416,5,3,0,2,3,0,2009,27006
0,LLUV,1,6,9.76,30.7,4.59,1.37,35.56,47.82,13.05,77.99,61.21,-0.38,Medio,59748.56,126416,5,3,0,2,3,0,2006,27006
1,SEQ,61,5,9.09,29.25,4.34,0.95,22.14,48.56,11.77,67.54,58.41,-0.57,Medio,76621.2,192800,5,3,0,2,3,0,2007,27005
1,LLUV,7,5,9.09,29.25,4.34,0.95,22.14,48.56,11.77,67.54,58.41,-0.57,Medio,76621.2,192800,5,3,0,2,3,0,2007,27005
1,INUND,1,5,9.09,29.25,4.34,0.95,22.14,48.56,11.77,67.54,58.41,-0.57,Medio,76621.2,192800,5,3,0,2,3,0,2008,27005
1,LLUV,3,5,9.09,29.25,4.34,0.95,22.14,48.56,11.77,67.54,58.41,-0.57,Medio,76621.2,192800,5,3,0,2,3,0,2009,27005
0,LLUV,1,5,9.09,29.25,4.34,0.95,22.14,48.56,11.77,67.54,58.41,-0.57,Medio,76621.2,192800,5,3,0,2,3,0,2006,27005
1,SEQ,61,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2007,27004
1,LLUV,7,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2007,27004
1,INUND,1,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2008,27004
1,LLUV,37,4,4.1,13.46,0.83,0.26,3.03,36.62,3.33,23.63,27.7,-1.48,Muy bajo,171488.39,640253,4,1,0,2,2,0,2010,27004
0,LLUV,1,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2006,27004
0,LLUV,4,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2006,27004
0,LLUV,1,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2006,27004
0,LLUV,1,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2007,27004
0,CT,1,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2008,27004
0,LLUV,1,4,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,Muy bajo,171488.39,640253,4,1,0,2,2,0,2009,27004
1,SEQ,61,3,10.17,26.29,3.82,3.13,66.13,54.09,14.32,68.34,58.62,-0.2,Medio,268561.79,101698,5,5,0,1,1,0,2007,27003
1,LLUV,7,3,10.17,26.29,3.82,3.13,66.13,54.09,14.32,68.34,58.62,-0.2,Medio,268561.79,101698,5,5,0,1,1,0,2007,27003
1,INUND,1,3,10.17,26.29,3.82,3.13,66.13,54.09,14.32,68.34,58.62,-0.2,Medio,268561.79,101698,5,5,0,1,1,0,2008,27003
1,SEQ,61,2,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,Medio,204444.08,248397,5,2,0,2,3,0,2007,27002
1,LLUV,7,2,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,Medio,204444.08,248397,5,2,0,2,3,0,2007,27002
1,INUND,1,2,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,Medio,204444.08,248397,5,2,0,2,3,0,2008,27002
1,LLUV,3,2,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,Medio,204444.08,248397,5,2,0,2,3,0,2009,27002
0,LLUV,1,2,10.03,36.31,9.73,5.74,25.49,57.42,16.27,57.77,66.9,-0.51,Medio,204444.08,248397,5,2,0,2,3,0,2003,27002
0,FV,1,2,10.03,36.31,9.73,5.74,25.49,57.42,16.27,57.77,66.9,-0.51,Medio,204444.08,248397,5,2,0,2,3,0,2004,27002
0,LLUV,1,2,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,Medio,204444.08,248397,5,2,0,2,3,0,2006,27002
0,LLUV,1,2,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,Medio,204444.08,248397,5,2,0,2,3,0,2007,27002
0,LLUV,1,2,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,Medio,204444.08,248397,5,2,0,2,3,0,2007,27002
1,SEQ,61,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2007,27001
1,LLUV,7,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2007,27001
1,INUND,1,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2008,27001
1,LLUV,37,1,11.51,32.35,4.69,4.97,16,49.16,8.82,67.12,68.55,-0.02,Medio,357357.18,55466,3,1,0,1,1,0,2010,27001
0,LLUV,1,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2005,27001
0,LLUV,1,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2007,27001
0,CT,1,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2008,27001
0,LLUV,1,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2009,27001
0,LLUV,1,1,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,Medio,357357.18,55466,3,1,0,1,1,0,2008,27001
1,CT,1,72,8.9,37.73,11.5,5.47,8.11,58.86,32.18,49.34,71,-0.47,Medio,137464.15,13637,2,1,0,2,1,0,2001,26072
1,CT,1,72,8.47,30.54,4.68,4.3,4.82,55.61,22.95,48.2,54.71,-0.56,Medio,137464.15,13637,2,1,0,2,1,0,2009,26072
0,LLUV,1,72,8.9,37.73,11.5,5.47,8.11,58.86,32.18,49.34,71,-0.47,Medio,137464.15,13637,2,1,0,2,1,0,2004,26072
0,CT,1,72,8.9,37.73,11.5,5.47,8.11,58.86,32.18,49.34,71,-0.47,Medio,137464.15,13637,2,1,0,2,1,0,2004,26072
1,CT,4,71,7.99,27.91,2.72,2.18,1.67,53.48,13.78,37.93,52.15,-0.82,Bajo,36651.07,21722,5,5,0,5,3,0,2008,26071
1,CT,1,71,8,34.31,7.38,5.1,1.59,53.52,21.82,36.55,67.67,-0.79,Bajo,36651.07,21722,5,5,0,5,3,0,2001,26071
1,CT,1,71,7.99,27.91,2.72,2.18,1.67,53.48,13.78,37.93,52.15,-0.82,Bajo,36651.07,21722,5,5,0,5,3,0,2009,26071
0,CT,1,71,8,34.31,7.38,5.1,1.59,53.52,21.82,36.55,67.67,-0.79,Bajo,36651.07,21722,5,5,0,5,3,0,2004,26071
0,LLUV,1,71,7.99,27.91,2.72,2.18,1.67,53.48,13.78,37.93,52.15,-0.82,Bajo,36651.07,21722,5,5,0,5,3,0,2009,26071
0,TS,1,69,13.17,50.95,10.08,25.33,11.77,42.68,30.13,100,57.79,-0.18,Medio,265801.17,5765,3,1,0,1,1,0,2004,26069
0,LLUV,1,67,4.94,32.33,2.42,1.04,0.46,22.51,3.12,100,39.55,-1.16,Bajo,147576.87,1733,0,1,0,1,1,0,2009,26067
1,LLUV,2,66,4.63,31.06,5.27,3.58,2.11,32.29,5.12,100,54.76,-1.14,Bajo,308630.15,8985,1,1,0,3,2,0,2000,26066
1,LLUV,2,65,6.02,40.44,8.27,11.64,10.33,35.7,5.12,100,60.41,-0.77,Bajo,173569.46,1539,1,1,0,2,3,0,2000,26065
1,LLUV,2,64,6.17,39.8,8.39,11.11,7.26,34.73,10.22,100,48.08,-0.89,Bajo,302019.06,1576,1,1,0,3,3,0,2000,26064
1,LLUV,2,59,3.83,22.94,5.66,6.91,3.92,28.34,3.42,100,58.7,-1.21,Bajo,100842.99,1894,0,1,0,2,1,0,2000,26059
1,LLUV,2,58,2.81,23.19,4.13,1.2,2.8,36.49,4.78,28.37,42.48,-1.61,Muy bajo,148224.31,15778,1,1,0,2,3,0,2000,26058
0,LLUV,1,58,1.84,15.65,1.91,1.62,0.66,28.51,1.73,25.91,24.39,-1.62,Muy bajo,148224.31,15778,1,1,0,2,3,0,2010,26058
0,LLUV,1,58,1.84,15.65,1.91,1.62,0.66,28.51,1.73,25.91,24.39,-1.62,Muy bajo,148224.31,15778,1,1,0,2,3,0,2010,26058
1,LLUV,2,56,14.26,49.25,15.97,6.36,0.94,62.97,39.01,100,70.71,0,Alto,111550.55,8147,0,1,0,3,3,0,2000,26056
0,LLUV,1,56,14.26,49.25,15.97,6.36,0.94,62.97,39.01,100,70.71,0,Alto,111550.55,8147,0,1,0,3,3,0,2002,26056
1,LLUV,2,53,4.15,25.18,0,0.49,1,26.27,0,100,58.82,-1.34,Muy bajo,15156.29,392,1,1,0,3,2,0,2000,26053
1,CT,1,52,6.48,38.01,9.16,6.14,3.89,34.18,19.46,100,56.89,-0.83,Bajo,499516.4,5864,0,1,1,2,2,0,2001,26052
0,LLUV,1,52,6.48,38.01,9.16,6.14,3.89,34.18,19.46,100,56.89,-0.83,Bajo,499516.4,5864,0,1,1,2,2,0,2003,26052
0,LLUV,1,52,5.46,33.12,2.93,4.14,2.45,33,12.55,100,43.84,-0.85,Bajo,499516.4,5864,0,1,1,2,2,0,2006,26052
