Dependiente ,Tipo de fenomeno,Duracion,MUNICIPIOS afectados,ANAL,SPRI,OVSDS,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,area_mun (ha),Sum_POBTOT,R_Inun,R_Hur,R_Des,R_Seq,R_IF,R_Den,a_o,Clave completa(TEXTO)
0,SD,1,47,8.34,43.93,15.54,4.17,16.53,38.29,16.94,100,68.22,-0.51,Medio,67305.48,5371,1,1,0,1,3,5,2002,32047
1,LLUV,3,46,10.35,55.81,30.96,2.6,5.92,36.16,6.29,100,72.44,-0.37,Medio,71692.14,7003,1,1,0,1,1,0,2003,32046
1,LLUV,3,45,8.88,48.48,20.22,3.9,10.61,39.86,15,100,63.56,-0.5,Medio,53912.3,8061,1,1,0,2,1,5,2003,32045
0,LLUV,1,45,7.99,40.33,6.98,1.8,4.8,32.89,8.23,100,56.95,-0.62,Medio,53912.3,8061,1,1,0,2,1,5,2006,32045
1,TS,2,44,12.15,39.08,10.21,1.01,5.67,42.55,7.84,54.24,62.16,-0.57,Medio,40605.12,15516,2,2,0,3,5,0,2006,32044
1,LLUV,3,44,10.05,47.36,17.39,2.77,16.2,46.76,9.83,58.05,69.37,-0.55,Medio,40605.12,15516,2,2,0,3,5,0,2003,32044
1,SEQ,10,43,13.15,48.71,10.59,3.85,0.65,37.78,11.39,100,52.49,-0.35,Medio,19747.81,1346,3,1,0,1,1,0,2007,32043
1,SEQ,61,43,9.56,42.39,3.54,2.14,1.33,31.96,2.59,100,63.2,-0.3,Medio,19747.81,1346,3,1,0,1,1,0,2010,32043
1,SEQ,61,42,5.14,26.03,10.73,1.22,7.26,34.54,4.58,64.53,56.32,-0.68,Medio,356309.94,60704,1,1,1,3,3,0,2010,32042
1,BT,1,42,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,Medio,356309.94,60704,1,1,1,3,3,0,2002,32042
1,LLUV,3,42,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,Medio,356309.94,60704,1,1,1,3,3,0,2002,32042
1,LLUV,3,42,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,Medio,356309.94,60704,1,1,1,3,3,0,2003,32042
0,LLUV,2,42,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,Medio,356309.94,60704,1,1,1,3,3,0,2003,32042
0,TS,1,42,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,Medio,356309.94,60704,1,1,1,3,3,0,2004,32042
0,LLUV,1,42,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,Medio,356309.94,60704,1,1,1,3,3,0,2004,32042
1,SEQ,62,41,20.75,45.79,2.34,7.34,16.59,45.27,6.47,100,72.77,0.06,Alto,61723.69,2607,0,1,0,2,3,0,2009,32041
1,SEQ,92,41,18.45,39.52,6.28,6.36,5.5,39.38,2.51,100,73.83,0.18,Medio,61723.69,2607,0,1,0,2,3,0,2010,32041
1,SEQ,92,40,6.34,29.36,13.85,1.49,4.22,44.95,4.24,76.61,77.61,-0.21,Medio,139960.74,21415,1,1,0,3,2,0,2010,32040
1,LLUV,3,40,8.94,44.86,44.99,3.57,16.94,55.27,20.71,100,77.33,0,Alto,139960.74,21415,1,1,0,3,2,0,2003,32040
0,LLUV,1,40,8.94,44.86,44.99,3.57,16.94,55.27,20.71,100,77.33,0,Alto,139960.74,21415,1,1,0,3,2,0,2002,32040
1,SEQ,62,39,6.52,34.25,9.18,0.56,1.62,38.03,4.91,49.21,52.32,-0.94,Bajo,181875.53,62572,1,1,0,4,3,0,2009,32039
1,SEQ,92,39,5.27,26.81,5.37,0.59,3.01,32.91,3.64,47.45,52.99,-0.91,Bajo,181875.53,62572,1,1,0,4,3,0,2010,32039
1,BT,1,39,6.62,40.27,16.78,1.79,2.5,43.73,7.7,50.76,58.39,-0.94,Bajo,181875.53,62572,1,1,0,4,3,0,2002,32039
1,LLUV,3,39,6.62,40.27,16.78,1.79,2.5,43.73,7.7,50.76,58.39,-0.94,Bajo,181875.53,62572,1,1,0,4,3,0,2003,32039
0,LLUV,1,39,6.62,40.27,16.78,1.79,2.5,43.73,7.7,50.76,58.39,-0.94,Bajo,181875.53,62572,1,1,0,4,3,0,2002,32039
0,LLUV,1,39,6.62,40.27,16.78,1.79,2.5,43.73,7.7,50.76,58.39,-0.94,Bajo,181875.53,62572,1,1,0,4,3,0,2003,32039
0,LLUV,1,39,6.52,34.25,9.18,0.56,1.62,38.03,4.91,49.21,52.32,-0.94,Bajo,181875.53,62572,1,1,0,4,3,0,2006,32039
1,SEQ,92,38,11.11,30.59,23.5,2.83,25.76,40.97,4.79,91.97,57.49,0.01,Medio,313600.07,69302,3,2,0,3,3,0,2010,32038
1,BT,1,38,16.55,52.06,45.44,9.77,44.29,52.44,18.72,100,76.5,0.36,Alto,313600.07,69302,3,2,0,3,3,0,2002,32038
1,LLUV,3,38,16.55,52.06,45.44,9.77,44.29,52.44,18.72,100,76.5,0.36,Alto,313600.07,69302,3,2,0,3,3,0,2002,32038
1,TS,1,38,13.29,38.83,29.92,4.5,29.85,48.22,9.81,92.28,68.55,0.08,Alto,313600.07,69302,3,2,0,3,3,0,2009,32038
