"Dependiente","ANAL","SPRI","OVSDS","OVSEE","OVSAE","VHAC","OVPT","PL.5000","PO2SM","IM","area_mun..ha.","Sum_POBTOT","R_Inun","R_Hur","R_Des","R_Seq","R_IF","R_Den"
1,5.01,20.99,2.93,1.37,4.04,44.44,1.41,0.81,35.14,-1.71,16904.12,16546,0,1,0,4,1,0
1,8.87,22.49,3.65,1.22,6.31,44.69,3.86,50.59,57.26,-0.94,6382.84,33469,2,1,0,4,4,0
1,35.28,46.37,9.82,4.67,13.85,53.03,19.73,47.46,81.18,0.38,3803.38,10895,3,4,4,5,2,0
1,22.75,45.57,54.52,2.83,10.12,63.51,7.88,50.1,80.85,0.47,58148.91,19032,4,5,0,3,4,0
1,18.74,43.69,7.84,9.1,53.77,54.01,16.4,53.71,74.84,0.32,44858.42,19761,5,3,0,2,1,0
0,6.19,37.93,3.65,2.91,2.37,24.76,4.03,100,42.76,-0.96,72536.02,3057,1,1,0,1,3,0
1,36.36,56.95,14.43,11.47,34.9,64.28,15.44,100,84.07,1.78,4734.24,15689,0,5,5,4,2,5
0,26.3,51.39,4.29,4.85,21.06,50.05,31.16,100,77.85,0.52,20915.55,16811,1,4,4,3,2,5
0,8.01,23.4,4.25,4.88,33.55,41.14,11.17,27.76,49.91,-0.85,211632.21,157268,5,2,1,2,2,0
0,5.25,15.1,0.62,0.25,2.69,32.37,4.64,4.69,30.03,-1.71,5571.28,196948,4,1,1,5,1,5
1,14.28,39.95,11.23,33.77,31.61,44.97,22.63,48.15,67.88,-0.19,213333.65,20565,1,1,0,2,3,0
1,56.06,75.72,57.79,42.06,58.92,82.87,77.63,100,88.19,3.36,10558.48,12111,2,4,4,2,4,5
1,4.97,25.01,1.78,0.4,1.67,51.8,6.1,8.42,28.05,-1.63,14473.31,24337,4,1,0,2,2,5
1,14.77,39.38,16.51,1.24,1.83,56.66,7.43,72.13,64,-0.25,162562.52,42633,4,3,1,3,5,0
0,7.58,23.64,2.39,1.11,9.06,39.43,11.5,26.11,52.19,-1.08,6131.38,59658,4,3,0,2,1,5
1,18.1,32.69,7.48,2.86,62.81,48.01,19.33,100,65.74,0.66,8802.94,5850,5,3,0,5,3,0
1,15.84,35.95,5.08,3.02,36.57,44.8,13.18,48.21,69.24,-0.25,135747.05,37473,5,2,2,1,1,0
1,4.07,15.68,1.56,0.74,3.09,49.19,2.55,100,31.08,-1.16,4644.99,2748,0,1,0,1,1,0
0,15.25,34.35,5.77,4.11,18.81,47.64,15.14,37.14,60.93,-0.44,65448.69,82746,5,5,0,3,2,0
1,20.35,46.05,14.49,4.56,2.05,63.56,2.76,100,85.05,0.31,21964.62,1668,4,2,0,1,5,0
1,31.42,59.3,17.86,5.73,30.19,79.08,49.98,100,75.4,1.33,7977.85,5110,0,4,5,3,2,0
1,25.46,49.99,24.29,8.57,11.36,64.01,37.83,100,87.66,0.93,2977.26,4594,3,5,4,4,2,5
0,5.89,31.5,3.78,8.12,10.84,40.85,7.8,13.76,50.54,-1.27,450980.11,17664,2,1,0,2,2,0
0,36.66,53.07,47.05,5.61,52.6,68.44,57,73.84,76.59,1.53,74966.02,120598,1,5,4,5,3,5
1,16.84,34.59,26.36,2.98,7.53,59.24,12.89,25.29,64.11,-0.25,208611.37,52739,4,5,0,3,5,0
1,10.17,42.84,9.55,12.36,8.82,51.79,31.85,51.89,64.98,-0.46,81262.01,20192,1,1,1,1,3,5
1,4.57,21.4,6.09,1.16,3.28,34.5,2.94,40.75,49.78,-1.03,503730.76,211127,2,1,0,5,3,0
1,16.52,49.63,8.09,5.01,0.64,58.7,30.78,100,69.01,0.26,10255.77,942,4,3,0,1,4,0
1,40.97,57.59,0.9,11.38,35.32,71.19,14.77,100,89.69,1.87,45775.42,11908,0,3,4,4,4,0
0,2.89,17.86,1.63,2,7.97,37.77,4.8,1.66,18.41,-1.96,125154.07,1557720,1,1,1,3,3,0
1,17.71,45.03,14.9,20.56,63.64,52.86,26.48,41.83,62.9,0.52,350850.03,74853,5,2,2,1,2,0
1,19.46,39.55,21.54,4.2,69.95,57.45,27.85,100,72.07,0.68,8802.94,5850,5,3,0,5,3,0
1,24.56,43.98,2.17,1.16,13.8,69.65,40.35,58.55,84.11,0.48,36586.9,30603,3,5,4,2,4,5
1,13.79,35.89,1.64,6.05,54.71,50.29,45.27,76.64,68.8,0.27,126573.88,103781,5,5,3,4,2,0
1,21.58,42.85,1.17,1.1,0.43,59.25,15.98,39.97,82.44,-0.07,22681.99,16454,1,3,0,3,3,0
1,32.46,48.8,4.63,4.86,62.3,45.89,9.11,100,76.3,1.14,9178.45,6595,5,5,4,5,2,0
1,20,46.42,3.29,6.3,6.88,64.05,14.09,29.27,71.16,-0.02,4366.2,9365,2,4,1,2,1,0
1,3.65,17.41,1.62,9.93,7.23,37.53,16.19,13.14,30.61,-1.34,458582.66,16210,1,3,0,2,3,0
1,33.4,46.35,6.67,20.48,39.82,60.45,71.17,100,80.54,1.4,15328.15,9629,0,5,5,3,1,5
0,8.04,18.89,7.66,0.36,18.13,41.16,12.01,12.43,42.69,-0.87,173136.91,789592,2,5,1,3,5,0
0,5.8,17.59,1.09,1.02,14.11,42.17,7.07,8.6,45.28,-1.56,1016.04,47356,0,1,0,5,1,0
0,12.12,40.51,1.87,4.63,4.92,49.06,10.74,45.9,56.88,-0.54,320791.31,42410,4,2,0,3,3,0
0,7.02,23.59,3.31,2.46,6.92,47.67,13.84,100,72.37,-0.16,8608.75,16763,0,3,0,5,2,5
0,5.83,17.64,1.05,0.87,6.4,52.77,11.2,7.33,45.6,-1.2,21778.98,310047,2,3,0,5,1,0
1,24.32,48.28,7.94,23.21,28.46,54.55,25.84,100,65.6,0.7,51803.25,20632,0,5,5,3,3,0
0,7.22,19.5,2.45,1.59,6.65,44.51,3.02,6.44,42.44,-1.32,13253.3,82318,3,3,0,4,5,0
1,4.01,15.65,0.36,0.37,0.94,27,4.24,6.56,37.49,-1.72,74237.64,146223,4,3,2,3,5,0
0,7.39,32.5,9.57,3.57,2,48.22,4.42,100,47.45,-0.64,50504.43,18268,2,1,0,4,1,0
0,21.91,49.2,7.53,4.9,46.25,47.66,22.06,76.49,70.76,0.35,119161.34,40104,5,5,3,1,1,0
0,2.5,8.01,1.26,0.78,0.89,29.05,2.06,26.09,40.42,-1.73,5196.5,89769,1,1,0,5,1,0
0,9.83,24.92,3.16,3.15,30.72,47.45,7.03,24.12,54.59,-0.78,27655.92,117301,5,3,0,2,1,0
1,5.86,21.91,3.44,0.87,18,41.8,5.46,68.45,48.07,-0.97,40684.53,86620,4,1,0,1,1,0
0,27.11,55.34,9.91,18.87,40.82,59.51,29.15,100,86.22,0.62,23017.74,22272,0,5,5,3,3,5
1,4.47,25.41,2.06,0.54,1.01,30.23,1.62,67.51,26.26,-1.43,302505.64,31540,1,1,0,3,3,0
0,3.61,15.27,0.92,0.48,2.58,38.81,3.02,4.98,24.09,-1.72,67512.41,255388,3,3,1,3,4,0
0,15.38,39.9,11.95,2.26,4.55,50.83,24.79,37.76,60.13,-0.33,42547.71,78581,5,5,0,5,2,5
0,9.56,34.37,2.64,0.47,1.17,36.69,4.04,12.23,44.69,-1.18,11548.01,59270,2,3,0,5,5,5
0,18.1,42.4,9,2.39,54.64,50.01,22.31,77.54,80.34,0.87,56524.66,26937,5,3,0,0,1,0
0,10.05,27.06,17.13,1.35,2.06,58.09,7.26,41.37,68.88,-0.53,21648.39,74571,4,4,0,4,2,0
0,3.1,12.16,0.63,0.4,9.4,33.86,2.13,0.96,40.68,-1.88,30878.95,650145,0,1,1,5,1,0
1,11.74,39.81,6.79,0.39,2.54,35.41,4.43,54.93,62.05,-0.41,71368.64,67810,1,2,0,5,5,5
1,9.21,29.32,4.78,1.71,33.3,49.08,11.39,57.95,55.11,-0.54,204444.08,248397,5,2,0,2,3,0
1,20.32,47.12,12.42,2.52,7.66,45.81,11.05,34.53,82.93,-0.1,64885.12,11141,5,5,0,4,4,0
0,3.94,13.68,0.7,0.95,1.78,30.26,2.91,4.78,42.43,-1.67,30221.77,267285,4,1,0,5,3,0
1,12.83,40.57,1.45,3.73,41.03,46.55,17.9,100,63.38,-0.03,13151.79,10344,5,3,0,4,2,0
1,17.15,38.37,31.76,10.34,26.78,48.54,16.67,100,71.7,0.34,19235.16,7960,0,5,3,2,4,0
1,30.83,56.61,1.45,5.63,21.75,66.83,12.46,100,85.79,1.32,13340.34,12929,0,4,5,2,1,0
1,3.15,20.16,4.55,1.69,2.06,35.02,8.35,13.08,43.48,-1.67,918510.07,580529,1,2,1,2,3,0
0,21.63,42.9,20.85,9.97,58.7,65.9,37.44,79.91,71.25,0.39,16320.79,37661,5,4,2,0,2,0
0,15.98,35.28,24.08,2.99,25.33,58.44,41.35,64.44,72.56,0.28,145028.48,60902,2,5,1,4,3,0
1,12.25,37.73,2.27,0.83,2.32,45.5,17.93,21.94,60.47,-0.69,40686.08,28420,4,2,0,1,3,0
1,21.24,43.59,44.69,6.93,34.8,63.06,42.96,75.04,73.87,0.4,181323.09,73165,3,5,1,4,4,0
1,11.75,34.82,1.81,8.08,9.91,48.22,29.05,57.8,68.08,-0.25,182447.95,37016,4,2,0,4,3,0
0,3.5,11.86,0.3,0.63,5.73,42.36,5.22,2.48,36.4,-1.59,32526.28,467269,0,1,0,4,1,0
1,11.37,30.66,25.99,3.11,6.4,50.14,10.21,100,69.82,-0.19,7913.82,8946,0,1,1,2,4,0
0,9.74,24.71,3.33,0.98,3.55,44.87,9.55,8.77,38.45,-1.2,10230.55,108091,1,3,1,4,2,5
0,7.27,23.74,0.91,1.16,2.45,37.67,7.18,26.93,47.92,-1.22,161999.96,115165,3,2,2,4,3,0
1,13.64,47.74,39.01,10.02,21.29,50.71,27.99,100,69.92,0.51,118887.83,4419,0,1,1,1,1,0
1,8.41,22.51,1.21,0.87,5.85,47.71,6.71,31.89,60.22,-0.96,9189.23,92204,0,5,3,2,2,0
1,17.42,45.4,5.97,8.28,56.91,43.4,9.4,100,81.06,0.86,370571.93,25769,1,1,0,2,1,0
0,9.54,26.03,5.94,1.44,6.24,47.48,14.84,15.03,56.97,-1.17,19116.44,97667,5,3,2,5,2,5
1,13.66,44.4,0.28,0.21,0,56.73,1.54,100,67.73,-0.25,1808.32,3082,0,4,0,2,1,0
0,6.14,18.9,4.04,1.14,1.16,34.81,4.31,14.41,51.59,-1.61,24127.53,51529,1,1,0,4,4,0
1,14.11,50.04,33.34,19.09,39.2,49.63,18.54,100,78.79,0.28,1198760.07,17354,1,1,1,2,3,0
1,13.32,28.07,3.31,4.91,12.01,54.77,14.63,41.49,50.63,-0.6,51555.93,38559,1,5,0,4,4,0
0,27.81,51.28,11.44,8.47,36.16,61.5,32.55,100,83.48,0.94,17856.52,18158,1,3,5,4,2,0
1,4.53,16.67,0.23,0.23,0,43.56,21.33,100,64.29,-0.79,3717.97,1467,0,1,1,1,1,0
1,13.21,32.43,6.49,3.21,27.44,37.75,8.34,40.81,51.38,-0.69,82355.91,51261,4,5,0,3,1,0
0,19.21,52.1,7.42,9.45,30.01,63.38,37.91,100,74.52,0.74,190788.69,27021,5,3,2,1,1,0
0,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,164436.43,210824,4,2,0,4,3,0
1,41.74,70.92,1.52,3.8,34.43,52.75,66.39,100,90.11,1.49,3592.44,2434,0,4,4,4,1,5
0,8.03,26.3,11.11,14.07,32.93,58.84,14.33,21.03,34.21,-0.95,382434.6,158787,1,4,0,0,4,0
0,9.59,23.33,0.71,3.52,13.78,42.12,23.58,30.26,54.65,-0.83,27535.44,47967,4,5,2,4,3,0
0,3.08,16.01,0.09,0.12,0.33,29.33,1.54,0.01,33.02,-2.03,14990.44,1495182,4,3,0,3,5,5
0,2.5,8.01,1.26,0.78,0.89,29.05,2.06,26.09,40.42,-1.73,5196.5,89769,1,1,0,5,1,0
1,15.28,47.55,33.94,4.15,10.62,51.84,16.46,70.68,64.98,-0.28,154870.05,148988,5,2,1,5,2,5
1,3.07,20.23,1.12,1.14,4.33,37.69,3.97,19.79,36.16,-1.28,248323.48,77212,3,1,0,1,3,5
1,10.13,39.92,23.29,2.42,3.95,53.07,12.34,52.51,64.41,-0.65,63799.04,40376,3,2,0,4,3,0
1,24.48,45.37,1.59,7.73,49.69,51.75,52.52,100,74.36,0.77,23888.75,25412,5,4,3,4,3,0
1,13.32,28.98,16.46,3.49,1.22,47.08,12.48,100,73.95,-0.25,25419.03,15989,2,5,0,3,4,0
1,9.93,34.38,32.05,0.76,6.81,55.37,2.28,100,77.11,-0.09,10747.85,5619,5,5,0,3,5,0
0,12.82,31.8,5.43,3.47,18.46,51.78,7.39,43.54,56.87,-0.55,188285.76,58802,3,1,1,1,2,0
1,23.56,46.32,0.92,16.09,19.38,74.33,50.36,100,84.96,1.04,15714.63,2386,0,5,0,4,4,0
1,6.26,30.56,5.52,3.29,6.18,49.27,8.14,53.27,33.93,-1.26,30603.27,20377,3,1,0,3,3,5
1,4.64,23.74,4.95,7.44,26.26,55.91,10.17,67.93,35.29,-1.06,164535.76,31782,1,1,0,1,2,0
1,19.49,46.83,5.45,2.1,16.7,63.97,18.99,67.57,83.59,0.29,36033.46,32610,1,5,3,2,3,0
1,18.98,34.25,38.3,6.52,4.26,70.78,31.3,67.07,68.09,0.37,1334632.64,74597,4,3,0,1,4,0
0,3.03,12.8,0.19,0.32,5.54,26.58,3.72,2.59,25.89,-1.88,115279.61,1242959,1,1,0,2,1,5
1,17.28,40.68,4.29,4.21,15.93,60.52,21.08,100,85.87,0.31,6269.08,14046,0,4,4,0,1,5
0,30.14,60.73,14.16,37.85,36.75,65.34,43.64,100,89.11,1.1,17856.52,18158,1,3,5,4,2,0
0,9.79,35.74,6.51,0.57,1.86,36.5,2.46,14.05,43.97,-1.42,15858.02,49323,2,3,2,5,1,0
0,3.88,12.69,0.22,0.44,0.73,30,1.98,0.01,42.55,-1.73,2757.69,120987,4,3,0,2,1,5
0,21.11,47.06,7.2,4.87,35.89,60.52,31.25,56.22,78.95,0.46,23913.02,34506,5,4,0,0,3,0
1,7.07,27.21,4.96,3.28,2.67,62.26,17.94,13.51,38.2,-1.21,102245.86,143442,1,1,1,3,3,0
1,13.95,39.07,6.95,3.33,3.95,48.54,28.94,100,60.6,-0.14,3455.23,11634,5,5,0,2,1,0
1,24.58,52.73,34.41,3.84,26.11,51.2,22.5,55.55,67.57,0.01,49030.01,11250,1,2,0,4,5,0
0,6.54,18.21,2.13,1.2,10.26,37.42,8.7,19.76,37.64,-1.12,19116.44,97667,5,3,2,5,2,5
1,10.88,34.48,1.22,5.84,9.09,47.42,18.54,26.35,67.68,-0.53,69126.94,41208,5,5,0,4,1,0
0,38.8,54.65,13.24,8.29,34.53,82.15,75.58,100,89.42,1.79,25191.23,36097,0,4,5,2,2,5
1,6.7,21.95,3.32,2.89,20.35,48.24,8.2,19.82,40.86,-1.06,858833.96,217712,3,1,0,1,1,0
0,5.8,21.84,4.34,0.93,10.7,44.74,6.02,32.37,38.8,-0.94,153805.81,53841,3,1,1,2,4,0
1,39.02,64.21,13.35,19.91,46.04,76.29,68.05,100,76.47,1.92,4329.33,11808,0,4,5,4,2,0
1,13.97,34.68,9.26,4.3,3.44,52.58,40.2,100,64.21,-0.01,14843.32,4422,1,1,0,4,4,0
0,17.67,47.14,6.95,4.72,50.62,51.4,18.86,100,69.92,0.37,141343.94,26015,5,2,2,1,1,0
0,9,25.25,0.7,1.31,4.37,36.12,12.22,11.67,50.68,-1.17,100698.57,314496,2,3,1,3,4,0
1,4.6,15,0.9,0.44,4.82,38.52,3.97,27.36,36.94,-1.49,171488.39,640253,4,1,0,2,2,0
1,12.22,48.27,6.62,5.65,41.91,66.06,36.13,100,92.79,0.77,21539.46,19189,3,4,4,0,3,5
1,12.64,43.65,10.74,13.4,12.4,42.78,18.66,100,79.5,0.67,101791.51,4507,1,2,2,1,5,0
0,4.55,36.35,3.07,0.93,1,21.37,1.4,100,46.25,-1.07,286323.16,6802,1,1,0,1,3,0
1,29.06,58.7,16.64,42.43,33.81,80.25,82.57,100,91.95,1.56,12733.83,3876,0,3,3,4,4,0
1,8.16,23.78,2.52,3.7,7.13,41.13,18.99,25.88,55.32,-0.93,239873.45,166212,3,2,1,1,5,5
0,33.18,57.63,36.38,2.92,20.45,52.24,55.69,100,80.29,1.15,14436.59,3220,4,5,0,4,3,0
0,17.76,34.26,6.58,3.31,12.05,50.21,27.6,15.09,63.34,-0.73,39541.64,185879,0,4,1,2,4,0
0,10.03,30.07,1.53,5.36,10.28,41.09,12.82,59.13,51.67,-0.74,86134.68,22235,3,2,2,4,3,0
0,8.45,23.62,3.07,3,2.14,47.36,12.77,33.27,48.76,-0.98,1589505.49,242443,3,4,0,2,3,0
1,13.15,38.16,45.75,3.7,6.24,63.23,6.29,100,79.4,-0.06,4386.84,4080,4,5,0,3,5,0
1,11.08,38.86,11.41,4.01,7.2,61.01,16.25,100,84.29,-0.22,5444.11,2569,4,3,0,3,1,0
0,17.38,42.01,40.52,7.34,4,66.42,16.01,86.46,63.53,-0.07,80333.65,57834,1,5,0,3,1,0
1,14.17,46.19,12.13,2.14,11.84,48.49,20.02,54.32,64.17,-0.19,41369.57,26737,5,5,4,3,1,0
1,14.27,44.21,5.64,0.83,1.62,29.86,5.71,100,67.38,-0.13,36852.32,17086,1,3,0,5,2,5
0,3.52,15.4,0.35,2.01,2.18,40.99,3.74,2.09,29.94,-1.63,121647.06,383766,2,3,0,5,2,0
1,19.2,39.97,29.41,5.28,11.34,66.58,48.69,100,72.62,0.23,20326.15,8653,0,3,0,5,5,0
1,4.87,22.45,6.76,3.35,2.38,43.15,14.06,14.49,41.77,-1.48,791572.67,148143,2,1,1,4,2,0
1,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,80829.23,159550,1,1,0,5,3,0
1,33.99,63.56,3.19,8.8,5.84,72.23,60.42,100,75.44,1.22,4144.26,7781,5,4,5,4,3,0
0,13.31,33.03,4.1,1.69,12.64,52.13,5.49,46.94,60.22,-0.57,42062.47,53539,3,1,1,2,3,0
1,11.87,33.2,2.09,5.97,67.29,40.88,13.73,100,65.65,0.42,52686.62,24342,5,5,2,3,3,0
0,4.15,31.73,3.9,7.69,9.78,31.45,1.57,100,43.6,-0.88,376538.92,10079,1,1,0,1,1,0
1,35.8,57.58,5.32,4.67,18.59,66.77,29.66,100,84.54,0.99,16905.73,12964,0,4,5,4,2,5
0,2.74,17.93,0.38,0.18,3.52,32.06,1.46,20.03,15.19,-1.66,18855.91,32417,4,1,2,4,1,5
0,7.74,32.33,5.01,1.43,1.64,39.91,8.64,85.21,62.86,-0.68,41316.88,61413,1,1,1,3,1,5
0,2.99,19.34,1.32,0.55,5.54,27.51,0.69,19.89,23.38,-1.76,359859.36,153495,4,1,1,5,3,0
1,13.99,34.13,5.9,1.44,12.17,46.28,14.18,27.79,45.85,-0.38,37582.15,44837,5,5,0,4,3,0
0,19.86,49.52,23.83,6.85,42.96,51.71,36.19,100,74.71,0.73,12950.21,5573,2,5,3,3,2,0
1,15.86,33.93,37.63,10.14,8.73,67.05,9.34,80.51,73.01,0.28,773400.45,37606,4,3,0,2,3,0
1,26.05,37.76,39.31,26.67,52.02,64.42,42.49,100,87.15,2.36,28024.8,9911,0,5,5,3,3,5
1,36.74,56.22,17.88,12.24,39.18,68.74,66.81,100,89.95,1.68,7463.43,4136,0,4,3,5,5,0
1,5.8,30.85,12.6,3.46,18.27,35.34,11.49,43.28,53.63,-0.82,633732.92,44119,1,2,1,1,3,0
0,9.16,27.89,2.78,0.42,3.54,30.84,1.98,14.01,45.8,-1.32,28253.74,99256,3,3,0,5,2,5
1,4.27,23.22,4.69,0.99,6.22,37.98,6.41,39.22,57.06,-0.85,109392.08,22261,2,1,0,4,2,0
1,20.87,51.14,35.37,2.87,2.97,56.66,2.83,13.72,81.93,0.08,64828.64,8543,3,3,0,2,3,0
0,42.41,65.66,4.72,3.09,19.76,83.36,90.98,100,76.63,1.77,11496.32,21380,0,5,5,2,1,0
1,8.65,24.13,1.83,1.75,3.18,45.6,13.6,33.64,55.12,-0.94,6416.84,34674,2,5,4,1,1,0
1,19.07,42.67,11.42,1.88,16.05,56.46,19.85,100,73.53,0.21,9666.9,3530,0,3,3,5,5,0
1,37.75,58.73,13.01,10.2,76.05,78.22,74.11,100,84.15,2.01,10604.18,10547,3,5,0,0,3,0
1,8.01,23.4,4.25,4.88,33.55,41.14,11.17,27.76,49.91,-0.85,211632.21,157268,5,2,1,2,2,0
1,13.43,35.72,15.46,4.21,5.97,62.78,17.98,65.86,74.87,-0.38,57186.57,39406,1,2,1,3,4,0
0,24.24,50.76,8.43,2.52,6.36,67.52,31.1,45.98,75.44,0.36,39699.51,48198,5,4,0,4,3,0
0,12.12,40.51,1.87,4.63,4.92,49.06,10.74,45.9,56.88,-0.54,320791.31,42410,4,2,0,3,3,0
0,1.48,7.68,0.15,0.13,0.56,23.54,0.39,0.1,38.2,-2.16,3487.25,278058,0,1,0,4,1,0
0,14.4,46.69,14.33,20.83,49.06,57.89,19.61,51.7,73.54,0.06,24925.46,15717,4,2,0,2,2,0
0,8.46,47.17,30,3.27,19.56,46.87,10.45,77.25,72.78,-0.35,496896.9,21829,1,1,0,2,3,0
0,27.22,46.56,4.04,9.41,21.06,47.13,36.3,100,88.55,0.65,32388.26,9213,5,3,3,4,1,0
0,35.91,65.09,3.1,8.59,19.86,77.75,68.72,100,77.89,1.51,13340.34,12929,0,4,5,2,1,0
1,4.69,27.68,16.33,1.64,4.42,31.1,11.74,63.66,65.7,-0.82,345501.07,30951,1,1,1,2,1,0
1,8.31,52.33,9.93,5.02,4.93,28.19,2.39,100,62.15,-0.77,1166271.47,1399,0,1,0,2,2,0
1,15.09,37.72,2.22,3.63,10.06,55.53,24.91,38.97,65.88,-0.27,16684.52,57896,5,5,2,4,2,0
1,21.07,54.7,30.43,15.41,46.81,73.66,37.64,72.56,82.7,0.74,44992.81,27510,5,3,2,0,2,0
0,11.03,29.63,2.21,2.8,28.15,45.13,20.03,25.57,58.19,-0.62,39949.83,100602,5,5,3,4,2,0
1,33.42,59.85,1.77,1.34,0.46,70.06,15.59,100,92.37,0.79,5159.15,5394,2,3,0,2,3,0
0,24.59,52.7,30.55,29.27,65.22,80.54,69.8,71.51,91.34,1.37,45405.14,21480,5,4,4,4,1,0
0,5.3,20.38,1.88,0.85,0.63,57.26,14.35,33.82,56.59,-1.2,18838.75,48334,1,3,0,5,1,0
0,6.86,23.4,1.35,2.8,19.3,52.41,12.6,9.02,48.68,-0.95,28568.01,55143,5,5,0,4,1,0
1,5.52,28.63,4.39,1.34,1.63,51.05,2.39,9.11,58.19,-1.29,76424,53925,2,3,0,1,1,0
1,25.9,42.88,23.16,1.16,0.55,47.7,29.48,100,76.24,0.3,7239.98,2313,5,5,0,4,5,0
1,22.98,58.27,40.58,24.73,20.83,50.05,21.48,46.21,78.04,0.32,47395.75,8573,0,2,1,2,3,0
1,45.23,65.71,1.96,13.74,8.69,72.67,38.79,100,90.88,1.5,1605.34,2466,0,5,5,3,3,5
1,3.53,38.36,4.7,3.18,1.2,26.21,1.24,100,65.27,-1.07,286323.16,6802,1,1,0,1,3,0
1,3.86,14.61,0.64,1.72,6.18,45.02,3.39,3.57,26.01,-1.6,208239.46,660210,4,5,0,0,4,0
0,11.38,34.06,3.58,1.66,25.42,54.02,8.84,100,67.08,-0.2,5591.8,15239,0,4,3,2,1,5
1,11.11,30.59,23.5,2.83,25.76,40.97,4.79,91.97,57.49,0.01,313600.07,69302,3,2,0,3,3,0
0,9.92,27.85,3.48,2.78,5.62,45.07,22.06,46.93,60.2,-0.67,13659.74,65311,5,5,2,2,1,5
0,25.21,53.56,9.46,3.65,24.13,53.11,34.27,100,76,0.61,18655.76,16055,0,5,4,3,1,5
1,26.11,52.91,19.99,2.75,0,65.63,3.75,100,86.2,0.53,8316.27,3135,4,3,0,3,4,0
1,20.01,52.82,15.68,17.92,42.74,64.89,33.53,100,87.59,1.14,59864.16,16827,5,2,4,1,3,0
1,15.08,42.86,1.13,6.01,46.29,78.36,40.79,100,93.48,0.92,4909.63,7266,0,4,4,0,2,5
1,20.63,49.95,35.64,3.47,4.67,60.61,27.41,76.9,69.88,0.03,162562.52,42633,4,3,1,3,5,0
1,6.49,38.11,7.62,1.71,3.76,32.14,3.08,31.41,60.25,-1.23,152690.74,57242,1,2,0,3,1,0
1,8.3,44.19,31.29,37.48,23.74,57.09,35.96,100,51.2,0.14,542452.59,18821,0,2,3,1,4,0
0,5.9,21.65,1.37,3.07,7.24,41.33,3.54,4.81,42.26,-1.6,2810.41,26975,4,1,0,2,2,0
0,2.05,8.52,0.17,0.11,0,30.73,0.35,0,32.92,-1.91,3366.6,430978,4,1,0,5,1,0
0,3.93,14.99,0.55,0.41,7.1,33.24,5.04,7.2,37.7,-1.61,24574.52,551926,4,3,0,4,1,0
1,33.84,58.76,17.52,2.31,0.09,45.48,15.76,100,85.58,0.57,2584.62,1225,0,3,0,3,5,5
0,10.04,31.37,16.93,5.24,10.15,49.55,18.16,69.25,51.66,-0.44,214372.82,27875,1,3,1,1,5,0
0,8.94,44.86,44.99,3.57,16.94,55.27,20.71,100,77.33,0,139960.74,21415,1,1,0,3,2,0
1,24.9,50.27,7.97,6.86,40.07,66.14,38.62,100,85.19,0.97,17479.46,12200,4,4,4,3,3,5
1,10.24,24.92,10.22,1.56,2.82,49.3,10.29,41.81,53.71,-0.82,36657.73,63120,4,3,0,5,3,0
1,10.31,49.23,18.83,1.42,39.48,36.32,18.67,100,54.64,-0.07,48200.85,2329,0,1,0,1,2,5
0,6.54,18.21,2.13,1.2,10.26,37.42,8.7,19.76,37.64,-1.12,19116.44,97667,5,3,2,5,2,5
0,9.31,28.89,4.01,2.13,10.16,46.28,5.12,100,60.26,-0.57,59179.84,36377,3,1,0,2,2,0
1,9.56,29.65,5.49,2.54,2.06,51.47,16.76,33.66,65.27,-0.95,6416.84,34674,2,5,4,1,1,0
0,9.92,27.85,3.48,2.78,5.62,45.07,22.06,46.93,60.2,-0.67,13659.74,65311,5,5,2,2,1,5
0,17.82,46.65,3.72,1.06,3.63,33.16,7.39,100,64.79,-0.35,85417.59,40436,5,3,1,3,1,0
0,2.98,23.72,2.48,1.34,1.68,31.84,0.89,23.43,32.99,-1.8,359859.36,153495,4,1,1,5,3,0
0,1.95,8.11,0.09,0.1,0.06,27.09,0.31,0,30.17,-1.99,3332.29,414711,4,1,0,5,2,0
1,20.55,51.96,6.02,5.7,2.78,55.92,8.77,100,84.6,0.3,40960.82,3418,4,3,0,1,5,0
0,25.74,54.12,23.89,10.74,14.9,62.06,46.99,100,79.64,1.02,6472.92,6238,0,3,3,4,1,5
1,13.03,33.03,1.8,7.49,35.95,51.03,62.98,78.64,75.65,0.34,19057.69,33028,5,5,4,5,2,0
0,8.5,33.79,3.82,0.68,0.75,32.57,7.25,100,66.32,-0.68,51095.02,7425,1,1,0,2,3,5
0,19.81,40.47,6.62,5.54,18.66,49.27,27.28,100,80.89,0.28,19287,10948,5,3,4,3,1,0
1,13.98,36.71,3.89,3.87,23.08,46.57,14.8,48.83,62.21,-0.38,17409.23,14809,5,3,0,2,2,0
0,26.02,48.17,8.68,10.59,21.79,47.15,24.99,72.29,70.54,0.35,61621.97,55871,5,5,4,4,1,0
0,11.63,29,4.28,2.71,34.37,49.89,22.12,29.79,62.26,-0.44,99111.65,319207,5,4,2,0,2,0
0,15.25,34.35,5.77,4.11,18.81,47.64,15.14,37.14,60.93,-0.44,65448.69,82746,5,5,0,3,2,0
0,6.13,21.87,0.69,0.61,9.41,48.31,10.55,5.29,33.5,-1.3,8697.92,138137,2,1,0,4,1,5
