"Dependiente","ANAL","SPRI","OVSDS","OVSEE","OVSAE","VHAC","OVPT","PL.5000","PO2SM","IM","area_mun..ha.","Sum_POBTOT","R_Inun","R_Hur","R_Des","R_Seq","R_IF","R_Den"
0,10.98,46.85,22.04,3.42,7.71,45.24,12.27,55.79,67.76,-0.57,42737.52,12801,1,1,0,3,3,0
1,11.38,34.06,3.58,1.66,25.42,54.02,8.84,100,67.08,-0.2,5591.8,15239,0,4,3,2,1,5
0,11.03,29.63,2.21,2.8,28.15,45.13,20.03,25.57,58.19,-0.62,39949.83,100602,5,5,3,4,2,0
0,14.79,35.94,1.62,6.86,57.01,52.36,40.48,62.63,64.48,0.2,144476.51,157712,5,5,3,4,3,0
0,17.57,44.56,11.77,4.61,48.88,44.72,17.84,76.19,67.71,0.17,91418.42,36208,5,5,0,3,2,0
1,16.03,39.28,12.57,10.28,27.11,50.48,23.15,59.38,54.76,-0.04,117503.06,25271,0,1,1,3,1,5
0,22.4,44,23.09,6.98,18.26,66.92,31.93,61.93,81.51,0.6,288858.8,108644,5,4,3,2,2,0
1,22.33,52.19,76.42,12.97,8.11,74.02,16.59,100,84.48,1.26,146234.55,14682,4,5,0,2,4,0
1,41.83,56.2,10.72,5.74,45.26,62.91,35.43,100,87.78,1.32,15299.49,23594,2,5,5,4,3,0
1,17.43,46.99,9.84,7.95,69.65,58.65,19.56,100,76.74,0.71,106498.37,17721,5,2,1,1,2,0
0,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,356309.94,60704,1,1,1,3,3,0
1,19.81,40.47,6.62,5.54,18.66,49.27,27.28,100,80.89,0.28,19287,10948,5,3,4,3,1,0
0,15.09,37.72,2.22,3.63,10.06,55.53,24.91,38.97,65.88,-0.27,16684.52,57896,5,5,2,4,2,0
0,5.05,16.02,2.65,1.07,0.65,46.45,6.9,14.82,55.47,-1.24,2427.07,26985,0,3,0,4,2,0
1,24.48,45.37,1.59,7.73,49.69,51.75,52.52,100,74.36,0.77,23888.75,25412,5,4,3,4,3,0
0,6.82,48.44,4.76,7.99,12.11,17.77,4.12,100,46.61,-0.71,501538.1,1350,1,1,0,2,1,0
1,12.88,35.27,2.27,0.34,2.54,53.86,58.51,100,94.25,0.3,3783.18,1530,0,4,5,4,1,5
0,32.16,62.72,25.33,7.09,11.42,67.74,39.22,61.3,83.55,0.57,136634.34,60339,2,3,2,2,3,0
1,18.98,34.25,38.3,6.52,4.26,70.78,31.3,67.07,68.09,0.37,1334632.64,74597,4,3,0,1,4,0
