No. ,Variable a explicar
1,otrosdelitos_restodelosdelitosotros_restodelosdelitosotros
2,otrosdelitos_amenazas_amenazas
3,delitospatrimoniales_abusodeconfianza_abusodeconfianza
4,delitospatrimoniales_despojo_sindatos
5,delitospatrimoniales_despojo_conviolencia
6,delitospatrimoniales_despojo_sinviolencia
7,delitospatrimoniales_fraude_fraude
8,delitospatrimoniales_da̱oenpropiedadajena_danoenpropiedadajena
9,delitospatrimoniales_extorsion_extorsion
10,otrosdelitos_estupro_estupro
11,otrosdelitos_otrossexuales_otrossexuales
12,delitossexualesviolacion_violacion_violacion
13,homicidios_culposos_conarmadefuego
14,homicidios_culposos_otros
15,homicidios_culposos_conarmablanca
16,homicidios_culposos_sindatos
17,homicidios_dolosos_conarmablanca
18,homicidios_dolosos_conarmadefuego
19,homicidios_dolosos_otros
20,homicidios_dolosos_sindatos
21,roboeninstitucionesbancarias_conviolencia_acasadecambio
22,robocomun_conviolencia_otros
23,roboencarreteras_conviolencia_otros
24,roboencarreteras_conviolencia_aautobuses
25,roboencarreteras_conviolencia_sindatos
26,robocomun_conviolencia_acasahabitacion
27,roboeninstitucionesbancarias_conviolencia_acasadebolsa
28,robocomun_conviolencia_devehiculos
29,robocomun_conviolencia_sindatos
30,roboencarreteras_conviolencia_avehiculosparticulares
31,roboeninstitucionesbancarias_conviolencia_sindatos
32,robocomun_conviolencia_atransportistas
33,roboencarreteras_conviolencia_acamionesdecarga
34,roboeninstitucionesbancarias_conviolencia_abancos
35,robocomun_conviolencia_atranseuntes
36,roboeninstitucionesbancarias_conviolencia_aempresadetrasladodevalores
37,roboeninstitucionesbancarias_conviolencia_otros
38,robocomun_conviolencia_anegocio
39,roboencarreteras_sinviolencia_avehiculosparticulares
40,robocomun_sinviolencia_atranseuntes
41,roboeninstitucionesbancarias_sinviolencia_acasadecambio
42,roboencarreteras_sinviolencia_acamionesdecarga
43,roboencarreteras_sinviolencia_aautobuses
44,robocomun_sinviolencia_devehiculos
45,roboencarreteras_sinviolencia_sindatos
46,robocomun_sinviolencia_anegocio
47,robocomun_sinviolencia_acasahabitacion
48,roboeninstitucionesbancarias_sinviolencia_acasadebolsa
49,roboeninstitucionesbancarias_sinviolencia_sindatos
50,roboeninstitucionesbancarias_sinviolencia_otros
51,robocomun_sinviolencia_atransportistas
52,roboencarreteras_sinviolencia_otros
53,roboeninstitucionesbancarias_sinviolencia_abancos
54,roboeninstitucionesbancarias_sinviolencia_aempresadetrasladodevalores
55,robocomun_sinviolencia_otros
56,robocomun_sinviolencia_sindatos
